nome,idade,time,posicao,partidas,minutos,gols,assistencias,chutes,passes_chave,dribles,faltas_sofridas,impedimentos,desarmes_sofridos,dominios_errados,desarmes,interceptacoes,faltas_cometidas,impedimentos_ganhos,afastadas_perigo,dribles_sofridos,Blocks,gols_contra,passes,perc_passes,cruzamentos,bolas_longas,enfiadas,nota
Marcelo Benevenuto,26,Fortaleza,D(C),34,3060,4,-,0.5,0.1,0.2,0.4,-,0.1,0.2,0.8,1.6,1,0.7,4.8,0.3,1,-,40.7,86.2,-,2.9,-,6.95
Keno,32,Atletico MG,"AM(CLR),FW",17(7),1438,5,5,1.7,0.8,1.6,1.0,0.1,0.7,1.5,1.4,0.4,0.7,-,0.3,0.7,-,-,18.8,71.7,0.4,0.6,-,6.95
Rai Nascimento,23,Bahia,AM(R),15,1110,3,2,1.5,1.7,0.9,1.4,0.1,0.8,1,0.9,0.7,1,-,0.2,0.9,0.1,-,20.1,73.4,1.1,0.7,0.1,6.95
Lucas Evangelista,26,Red Bull Bragantino,M(CLR),13(1),1099,2,2,0.7,0.9,0.6,2.6,-,0.9,1.4,2.1,1.1,1.7,0.1,0.7,1.3,0.3,-,34.1,84.1,0.1,1.6,0.1,6.95
Ytalo,34,Red Bull Bragantino,"AM(C),FW",27(3),2315,12,5,1.9,1,0.1,0.9,0.1,0.4,1.1,0.9,0.3,0.7,-,1.0,0.4,0.1,-,16.8,78.4,-,0.4,0.1,6.95
Danilo Barcelos,30,Fluminense,"D(L),M(CL)",12(4),1050,-,4,0.4,1.1,0.3,0.5,-,0.2,0.6,1.9,1.3,1.1,0.4,1.5,0.6,0.2,-,29.4,77.4,1.4,1.4,-,6.94
Matheus Cavichioli,35,America MG,GK,35,3150,-,1,-,0.1,-,0.1,-,-,-,0.1,0.1,-,-,1.0,0.1,-,-,24.3,63.5,-,5.3,-,6.94
Thiago Santos,32,Gremio,DMC,27,2128,4,1,0.6,0.5,0.8,1,0.1,0.6,0.7,2.5,1.6,2.9,-,1.1,1.7,0.2,-,35.8,82.7,-,2.4,-,6.94
Willian Arão,30,Flamengo,"D(C),M(C)",29(1),2584,1,-,0.5,0.3,0.1,0.7,-,0.4,0.4,1.5,1.4,0.9,0.2,1.9,1.3,0.2,-,62.4,89.9,-,4.7,-,6.93
Gustavo Gómez,28,Palmeiras,D(C),20,1800,1,-,0.9,0.2,0.1,0.7,0.2,-,0.3,1.1,1.7,1.2,0.4,3.3,0.4,0.7,-,54.6,90.3,0.1,3.2,-,6.93
João Vialle,19,Athletico Paranaense,Defender,1,90,-,-,1,-,-,-,-,-,-,1.0,1.0,1,-,5.0,1.0,-,-,32.0,75.0,-,-,-,6.93
Matheus Babi,24,Athletico Paranaense,FW,9(2),707,3,1,2,1,0.2,1.8,0.5,0.5,2,0.7,0.2,2.5,-,0.5,0.6,0.1,-,12.0,71.2,-,0.1,-,6.93
Sander,31,Sport Recife,D(L),24(1),2058,1,1,0.6,1.5,0.8,1.9,-,0.9,1.4,2.3,2,1.8,0.2,1.6,1.3,0.2,-,36.0,81.1,1,1.2,-,6.92
Nino,24,Fluminense,D(C),25,2234,2,2,0.3,0.2,0.4,1.6,-,0.2,0.2,1.2,1.4,0.8,0.2,3.7,0.2,0.6,-,50.3,90.3,-,3.4,-,6.92
Fagner,32,Corinthians,D(R),35,3047,-,1,0.5,1.3,0.6,1.3,-,0.3,0.6,2.1,1.6,1.2,0.3,1.7,0.6,0.3,-,58.1,83.5,1.3,2.5,-,6.92
Matheus Peixoto,26,Juventude,FW,11(1),954,7,-,2,0.4,0.4,2.1,0.1,1.1,2.6,0.4,0.3,0.8,-,1.3,0.6,0.1,-,16.1,68.4,-,0.1,-,6.92
