nome,idade,time,posicao,partidas,minutos,gols,assistencias,chutes,passes_chave,dribles,faltas_sofridas,impedimentos,desarmes_sofridos,dominios_errados,desarmes,interceptacoes,faltas_cometidas,impedimentos_ganhos,afastadas_perigo,dribles_sofridos,Blocks,gols_contra,passes,perc_passes,cruzamentos,bolas_longas,enfiadas,nota
Victor Luis,28,Palmeiras,"D(L),M(CL)",9(7),851,-,1,0.6,0.4,0.4,0.5,-,0.2,0.6,1.3,0.9,0.8,0.2,1.3,0.4,-,-,24.6,84.0,0.7,1.1,-,6.5
Danielzinho,26,Bahia,M(CR),27(4),2152,1,2,0.7,0.8,0.6,1.2,-,0.7,0.9,1.2,0.4,1.0,-,0.2,1.1,0.1,-,48.2,87.5,0.1,2.2,-,6.5
André Luis,24,Atletico GO,"AM(CR),FW",21(9),1794,1,2,1.2,0.9,1,2.5,0.2,1,1.9,0.7,0.4,1.4,-,0.4,0.9,0.1,-,15.0,74.2,0.1,0.6,-,6.5
Chrigor,21,Red Bull Bragantino,Forward,0(2),7,1,-,0.5,-,0.5,0.5,-,-,1.0,-,-,1.0,-,-,0.5,-,-,1.5,66.7,-,-,-,6.5
Adson,21,Corinthians,AM(L),6(10),555,3,1,0.6,0.4,0.5,0.7,0.1,0.4,0.9,0.9,0.2,0.6,-,0.1,0.3,-,-,18.2,89.3,0.3,0.2,0.1,6.49
Heitor,21,Internacional,D(R),11(13),1151,-,2,0.5,0.3,0.3,0.6,-,0.2,0.8,1.3,0.7,0.9,0.2,1.1,0.8,-,-,21.8,83.2,0.5,1.8,-,6.49
Julimar,21,Athletico Paranaense,Forward,0(1),17,-,-,1.0,1.0,2,-,-,-,1.0,-,-,1.0,-,-,-,-,-,10.0,60.0,-,-,-,6.49
Luiz Adriano,34,Palmeiras,"AM(CL),FW",12(7),941,3,2,1.4,0.6,-,0.6,0.3,0.4,0.3,0.2,0.2,0.4,-,0.6,0.3,-,-,8.0,78.3,-,0.2,0.1,6.49
Guilherme Guedes,22,Gremio,Defender,2(2),214,1,-,0.5,1.0,-,0.3,-,-,1.3,0.5,0.5,0.5,-,1,1.5,-,-,22.8,87.9,0.5,0.5,-,6.49
Denner Melz,22,Chapecoense AF,M(C),18,1288,-,1,0.4,1.2,0.6,1.1,0.1,0.5,1.0,0.7,1,0.8,-,0.8,0.8,0.1,-,28.7,83.0,0.7,1.3,0.1,6.48
Marquinhos,25,Sport Recife,AM(L),4(1),303,-,-,0.8,1.0,0.6,2.8,-,0.6,2.4,1,0.2,1.4,-,0.6,1,-,-,22.8,79.8,0.2,0.6,0.2,6.48
Bruno Alves,30,Sao Paulo,D(C),18(5),1652,-,-,0.3,0.1,0.1,1.3,0.1,0.1,0.3,0.9,1,1.0,0.2,1.6,0.3,0.6,-,42.6,88.8,-,2,-,6.48
Zé Ivaldo,25,Athletico Paranaense,D(C),21(9),1859,1,-,0.4,0.3,0.3,0.8,-,0.1,0.4,1.1,0.8,1.2,0.2,2,0.4,0.3,2,40.6,85.0,0.1,4,-,6.48
Welington,21,Sao Paulo,M(L),12(5),1044,-,-,0.4,0.4,1.4,1.2,0.1,0.8,1.5,1.1,0.4,1.1,0.1,1,0.4,0.2,1,23.5,78.9,0.5,0.8,-,6.48
Pedro Rocha,27,Athletico Paranaense,"AM(CLR),FW",11(9),1230,4,-,1.5,1.0,0.9,1.3,0.2,1.1,2.3,0.6,0.4,0.8,-,0.4,1.2,-,-,14.9,71.5,0.3,0.6,0.1,6.48
Felipe Marques,32,Cuiaba,AM(L),11(19),1264,2,2,0.7,0.8,0.8,0.9,0.4,0.4,1.1,0.4,0.6,0.5,-,0.2,0.5,0.1,-,13.5,80.5,0.3,0.2,-,6.48
Bento,22,Athletico Paranaense,GK,9,810,-,-,-,-,-,0.1,-,-,-,-,-,-,-,0.7,-,-,-,25.7,76.2,-,3.8,-,6.47
Paulo Victor,20,Internacional,D(L),8(11),854,-,1,0.1,0.4,0.7,1.2,-,0.5,0.6,1.6,1.1,1.4,0.1,0.8,1.1,0.1,1,18.7,72.4,0.4,0.7,0.1,6.47
Bobsin,22,Gremio,DMC,9(5),794,-,1,0.4,0.6,0.6,0.5,0.1,1.1,0.6,1.6,0.6,1.4,-,0.5,1.3,0.3,-,41.8,87.4,0.1,2.6,-,6.47
Gabriel Pirani,19,Santos FC,AM(C),21(11),1789,3,3,1.3,0.8,1.2,1,0.2,1.3,2.4,0.7,0.1,0.8,-,0.1,0.4,-,-,21.7,82.9,0.6,0.4,-,6.47
João Paulo,37,Juventude,DMC,2,159,-,-,0.5,-,-,-,-,0.5,1,1,3,1.5,0.5,0.5,0.5,1,-,77.5,92.3,-,6.0,-,6.47
Zé Vitor,21,America MG,Defender,3,203,-,-,1,0.3,0.3,-,-,-,0.3,1.3,2.3,1.7,-,0.3,0.7,0.7,-,36.3,77.1,-,2.3,-,6.47
Dylan Borrero,20,Atletico MG,AM(R),6(9),505,2,1,1,0.3,0.7,0.8,0.1,0.3,1.1,1.1,-,0.4,0.1,0.3,0.5,0.1,-,12.6,81.5,0.3,0.4,-,6.47
Jádson,38,Athletico Paranaense,AM(CLR),4(5),332,2,-,0.7,0.7,0.4,0.2,-,0.1,0.3,0.1,-,0.1,-,0.1,0.1,-,-,18.3,81.2,0.4,1.1,-,6.47
Diego,22,Sao Paulo,D(C),7(5),665,-,-,0.4,-,0.3,0.3,-,0.1,0.2,1.4,1.3,1.2,0.2,1.5,0.7,0.4,-,35.5,81.2,0.3,1.9,-,6.46
Raniele,25,Bahia,Defender,1(10),281,-,-,0.5,0.4,0.2,0.5,-,0.3,0.1,1.3,0.7,0.5,-,0.9,0.5,0.2,-,16.2,74.7,-,0.9,0.1,6.46
Natan,21,Red Bull Bragantino,D(C),19(5),1711,-,-,0.1,0.1,0.1,0.3,-,-,0.2,0.7,0.9,0.7,0.5,3.2,0.1,0.7,-,41.6,88.7,-,3.3,-,6.46
João Paulo,35,America MG,D(L),9(8),940,1,1,0.5,1.1,0.1,0.4,-,0.2,0.6,0.9,0.6,0.5,0.1,1.1,0.8,0.1,-,22.5,72.8,0.6,0.9,-,6.46
Eduardo Sasha,30,Atletico MG,"AM(CLR),FW",4(19),633,2,3,1,0.6,0.1,0.4,0.1,0.1,0.5,0.2,0.1,0.3,-,0.2,0.7,0.1,-,9.8,84.0,0.1,0.2,-,6.45
Willian,35,Palmeiras,"AM(CLR),FW",8(12),769,4,1,0.7,0.7,0.4,0.8,0.3,0.3,1.3,0.3,0.1,0.3,-,0.2,0.2,-,-,9.0,83.9,0.1,0.1,-,6.45
Auremir,30,Cuiaba,"D(R),DMC",18(7),1295,-,-,0.3,0.4,0.3,1,0.1,0.5,1.3,1.2,1,0.7,0.1,1.2,0.4,0.2,-,21.4,81.7,-,1.2,-,6.45
Pedro Henrique,21,Sport Recife,D(C),4(1),391,-,-,0.4,0.4,-,0.4,-,0.2,0.2,0.6,0.8,1.8,-,2.2,0.2,1,-,45.8,82.1,-,3.6,-,6.45
Bruno Viana,27,Flamengo,D(C),8(10),870,-,-,0.3,-,0.1,0.1,-,-,0.2,1.1,0.2,0.7,0.3,2.2,0.2,0.3,-,33.1,89.4,-,2.4,-,6.45
Kawê,19,America MG,Forward,0(1),4,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,5.0,80.0,-,-,-,6.45
Luan Polli,28,Atletico GO,GK,0(1),56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.0,66.7,-,3,-,6.45
Brenno,23,Gremio,GK,14(1),1208,-,-,-,-,-,0.1,-,-,0.1,-,-,-,-,1,0.1,-,-,15.5,59.1,-,3.3,-,6.45
Léo Cittadini,28,Athletico Paranaense,M(CLR),17(12),1696,-,1,0.6,0.3,0.5,1.2,-,0.4,1.0,1,0.9,1.3,-,0.4,0.7,0.3,-,26.1,89.0,0.1,1,-,6.45
Luciano Juba,22,Sport Recife,"D(L),M(L)",5(9),596,1,1,0.5,1.1,0.5,0.5,0.1,0.1,1.0,0.6,0.5,0.4,-,0.6,0.5,-,-,14.0,73.5,0.9,0.4,-,6.45
Elton,32,Juventude,DMC,9(1),753,-,-,0.5,0.4,0.4,0.7,-,0.5,0.3,1,1.2,2.5,-,1,0.8,0.3,-,41.6,85.8,0.1,1.8,-,6.45
Roni,22,Corinthians,M(C),14(7),1110,3,1,0.6,0.5,0.5,0.3,0.1,1,1.2,0.9,0.4,1,-,0.4,0.9,0.2,-,23.1,83.9,0.1,0.8,-,6.45
Kevin Macedo,19,Palmeiras,Forward,1(1),73,1,-,1.5,-,-,-,-,0.5,1.5,-,-,-,-,-,-,-,-,9.5,73.7,-,-,-,6.45
Luan Patrick,20,Athletico Paranaense,Defender,2,148,-,-,-,-,-,-,-,-,0.5,0.5,1,-,-,1.5,-,1.5,-,49.0,83.7,-,0.5,-,6.45
Wagner Leonardo,22,Santos FC,D(CL),10(6),1007,1,-,0.2,0.1,0.3,0.5,-,0.1,0.4,0.7,1.1,1.2,0.2,2.3,-,0.3,-,36.9,82.7,-,1.8,-,6.44
Juan Cazares,30,Fluminense,AM(CLR),6(16),782,1,2,0.7,1.2,0.2,0.5,-,0.4,0.5,0.5,0.1,0.4,-,-,0.5,-,-,24.9,81.2,0.9,0.9,0.1,6.44
Jonathan Cafú,30,Cuiaba,"AM(R),FW",14(15),1333,3,-,0.3,0.5,0.7,1.2,0.1,0.9,2.1,1.3,0.2,1,-,0.3,0.4,-,-,12.8,77.1,0.1,0.2,-,6.44
Jean Pyerre,23,Gremio,AM(C),9(15),975,-,-,1,1.3,0.8,0.6,-,0.3,1,0.4,0.3,0.2,-,-,0.1,-,-,34.0,87.4,0.2,1.8,0.1,6.44
Carlos Sánchez,37,Santos FC,M(CR),14(14),1424,5,-,1.1,0.9,0.2,1.4,0.2,0.4,1,0.7,0.3,0.5,-,0.1,0.3,-,-,25.9,78.1,0.7,0.6,-,6.44
Cléber,25,Ceara,FW,14(14),1423,3,-,1.6,0.5,0.6,0.6,0.1,0.7,1.8,1.1,0.2,2,-,0.4,0.3,-,-,12.7,71.0,-,0.3,-,6.44
Gabriel Batista,23,Flamengo,GK,5,450,-,-,-,-,-,-,-,-,-,-,-,-,-,0.6,0.2,-,-,23.6,80.5,-,3.0,-,6.44
Alan Santos,30,Chapecoense AF,DMC,10(6),758,-,-,0.4,0.1,0.4,0.4,-,0.3,0.2,1.2,1.1,1.6,0.1,0.9,1.0,0.4,-,21.2,86.1,0.1,2.3,-,6.44
Ramires,21,Red Bull Bragantino,M(CR),23(8),2073,2,1,0.6,0.8,0.5,0.8,-,0.7,1.5,1,0.4,1.2,-,0.4,1.2,0.2,-,23.8,88.3,0.1,0.8,-,6.43
Marlon,32,Ceara,M(CR),18(10),1478,1,-,0.7,0.5,0.4,0.8,-,0.4,1,1.3,0.9,1.1,-,0.6,1.5,0.1,-,25.0,84.7,0.1,1.3,-,6.43
Maurício,20,Internacional,AM(CR),15(15),1422,1,3,1.2,0.7,0.6,0.6,0.1,0.7,0.9,0.4,0.4,0.5,-,0.2,0.3,0.1,-,20.2,79.6,0.1,0.7,-,6.43
Luis Orejuela,26,Sao Paulo,D(R),6(3),361,-,-,0.1,0.6,0.6,1.2,-,0.2,0.8,0.8,0.8,0.8,-,0.7,0.2,-,-,20.3,75.4,0.7,0.8,-,6.43
Diego Tardelli,36,Santos FC,"AM(CLR),FW",7(5),593,1,-,1.1,0.7,0.8,0.6,0.2,0.3,2,0.6,-,0.6,-,0.1,0.5,-,-,21.1,84.6,0.1,0.9,-,6.43
Kelvyn,22,Ceara,D(L),10(12),1008,1,-,0.6,0.9,0.4,0.3,-,0.5,0.6,0.6,0.5,0.6,0.1,0.7,0.5,0.1,-,21.7,81.8,0.5,0.4,-,6.43
Jael,33,Ceara,FW,12(11),812,2,3,1.0,0.7,0.3,0.3,-,0.3,0.5,0.1,-,0.7,-,0.4,0.2,-,-,9.8,60.2,-,0.2,0.1,6.42
Lucas Fonseca,36,Bahia,D(C),3,259,-,-,0.3,-,0.3,1.0,-,-,0.7,-,1,0.3,0.3,3.3,1.3,1.3,-,51.3,81.8,-,4,-,6.42
Chico,30,Juventude,AM(CLR),10(22),1196,1,2,0.6,0.8,0.3,1.5,0.1,0.4,1,0.9,0.3,0.6,-,0.1,0.6,0.1,-,14.1,86.2,0.6,0.8,0.1,6.42
Kadu,35,Chapecoense AF,D(C),8(1),683,-,-,0.2,-,-,0.2,-,-,-,0.2,1.7,1.3,0.8,3.4,0.1,0.6,-,35.1,82.9,-,1.9,-,6.41
Rodinei,30,Flamengo,D(R),4(15),470,-,3,0.3,0.8,0.6,0.3,0.1,0.2,0.3,0.5,0.3,0.6,-,0.3,0.2,-,-,15.3,87.3,0.4,0.3,-,6.41
Danilo Barbosa,26,Palmeiras,"D(C),DMC",4(11),444,-,2,0.1,0.5,0.5,0.9,-,0.3,0.8,0.5,0.7,0.2,-,1.1,0.4,0.4,-,12.6,82.5,-,0.5,-,6.41
André Luiz,20,Flamengo,Forward,1,75,-,-,1.0,-,1,1.0,-,2,3,1,-,2.0,-,-,1.0,1,-,11.0,90.9,-,-,-,6.41
Kenedy,26,Flamengo,"D(L),M(LR)",4(10),481,1,1,1.4,0.1,1.1,0.5,0.1,0.6,2,0.7,0.3,1.3,-,0.2,0.4,-,-,14.1,80.8,0.1,0.4,-,6.41
Wescley,30,Juventude,"AM(CR),FW",18(10),1647,1,-,0.9,0.8,1.3,1.1,-,1,1.9,0.6,0.1,1.3,-,0.1,0.6,0.1,-,21.0,82.1,0.3,1.3,-,6.41
Martín Benítez,27,Sao Paulo,"AM(CLR),FW",8(17),852,2,1,0.9,0.6,0.9,1.9,0.1,0.7,0.9,0.5,0.4,0.9,-,-,0.5,-,-,17.0,71.8,0.3,0.9,-,6.41
Bruninho,19,Red Bull Bragantino,Midfielder,0(5),64,1,-,0.2,0.4,1,0.4,-,0.6,1,0.2,0.4,-,-,-,0.8,-,-,5.2,84.6,-,-,-,6.4
João Paulo,21,Chapecoense AF,GK,19(1),1766,-,-,-,0.1,-,0.2,-,-,-,0.1,0.2,-,-,1.2,0.1,-,-,21.9,56.5,-,4.3,-,6.4
Renato Kayzer,26,Athletico Paranaense,FW,14(14),1329,6,1,1.3,0.3,0.4,0.8,0.1,0.5,0.9,0.2,0.2,1,-,0.3,0.2,-,-,7.3,71.4,-,0.1,-,6.4
Joílson,30,Chapecoense AF,D(C),12(1),1023,-,-,0.3,0.2,-,0.3,-,-,0.1,0.7,0.2,0.7,0.2,5.8,-,0.7,-,22.5,79.9,-,2.2,-,6.4
Nonato,24,Fluminense,AM(C),8(8),654,-,1,0.1,0.6,0.5,0.8,-,0.6,0.4,1.4,0.8,0.9,-,0.3,0.8,-,-,20.7,86.7,0.1,0.6,-,6.4
Lucca,32,Fluminense,"AM(LR),FW",6(16),789,3,1,1.1,0.4,0.3,1.2,0.2,0.4,1.5,0.8,0.3,1,-,0.2,0.4,0.1,1,12.4,79.4,0.1,0.1,-,6.39
André,21,Atletico GO,Midfielder,1(3),137,-,-,0.3,0.3,0.3,-,-,0.8,0.3,0.8,0.5,0.3,-,1.5,1.3,-,-,17.5,85.7,-,2.8,-,6.39
Rodriguinho,34,Bahia,"M(CL),FW",24(10),1906,4,1,1.4,0.7,0.7,1.1,0.1,1.2,1.8,0.5,0.3,0.7,-,0.1,0.8,-,-,18.2,76.0,0.4,0.6,0.1,6.39
Bruno Melo,29,Fortaleza,"D(L),M(L)",12(9),1105,1,-,0.7,0.4,0.1,0.3,0.4,0.1,0.7,0.4,0.4,0.8,-,1,0.3,-,-,21.4,76.8,0.1,1.2,-,6.39
Thiago Galhardo,32,Internacional,"AM(CL),FW",6(4),464,1,-,0.8,0.7,0.4,1.3,0.2,0.3,1.1,0.4,0.1,0.7,-,0.5,0.5,0.1,-,8.9,64.0,0.2,0.3,0.1,6.39
Guilherme Pato,21,Cuiaba,Forward,0(7),195,-,1,1.0,0.6,0.3,0.7,-,0.6,1.1,0.9,-,0.9,-,0.1,0.6,-,-,13.0,83.5,0.6,0.4,0.1,6.39
Capixaba,25,Juventude,AM(LR),17(17),1536,-,2,0.6,0.5,1.0,1.6,0.1,0.9,1.6,0.9,0.3,1.0,-,0.3,0.8,0.1,-,9.6,74.3,0.4,0.3,-,6.39
Ganso,32,Fluminense,AM(C),5(5),454,-,-,0.7,0.5,0.4,1.1,-,0.5,0.5,1,0.2,0.3,-,0.2,0.3,0.1,-,34.1,89.1,-,0.7,-,6.38
Patrick de Paula,22,Palmeiras,DMC,13(13),1122,-,1,0.7,0.4,0.6,1.0,-,0.7,0.7,1,0.9,0.8,-,0.7,0.8,0.3,-,22.8,84.2,-,2.5,-,6.38
Christian,21,Athletico Paranaense,M(C),25(7),2126,2,-,0.9,0.8,0.3,1.3,0.1,0.7,1.0,1.1,0.8,1.9,-,0.3,0.8,0.2,-,29.1,84.0,-,2,-,6.38
Pará,36,Santos FC,"D(LR),M(R)",19(3),1287,-,1,0.1,0.4,0.3,0.7,-,0.3,0.3,0.5,0.5,0.8,-,1.1,0.3,0.3,-,30.3,83.9,0.3,1.1,-,6.38
Carlinhos,35,Fortaleza,"D(L),M(L)",2(1),178,-,-,0.7,0.7,0.3,0.7,0.3,-,0.3,-,0.7,1.0,-,0.3,0.3,-,-,18.7,80.4,-,-,-,6.38
Tchê Tchê,29,Atletico MG,M(CR),22(11),1966,1,1,0.6,0.5,0.2,0.6,-,0.2,0.7,0.8,0.4,1.3,-,0.2,0.8,0.1,-,34.9,93.0,-,1.4,-,6.38
Danilo Gomes,23,Cuiaba,AM(LR),8(6),686,-,-,0.9,0.3,0.9,1.5,0.2,0.9,1.6,0.9,1.3,0.4,-,0.4,0.4,-,-,12.9,76.7,-,0.3,-,6.38
Sarará,19,Gremio,Midfielder,2(8),278,-,1,0.5,0.4,0.1,0.3,-,0.1,0.7,1.2,0.5,1.1,0.1,0.9,0.5,0.1,-,16.4,85.4,0.1,1.3,-,6.38
Renê Júnior,32,Chapecoense AF,DMC,3(5),332,-,-,0.9,0.1,0.9,2.1,-,0.6,0.3,0.9,0.5,0.9,-,0.9,1.3,0.5,-,19.6,86.0,-,0.9,-,6.38
Gabriel Novaes,22,Red Bull Bragantino,FW,4(12),528,1,3,0.8,0.4,0.8,0.7,-,0.5,1.8,0.9,0.4,1.1,-,0.2,0.1,0.1,-,8.9,80.4,-,0.1,-,6.37
Kaio Nunes,26,Chapecoense AF,M(L),6(12),590,3,1,0.9,0.4,0.7,1.1,-,0.6,1.6,1.4,0.4,0.8,-,0.2,0.4,-,-,10.6,68.4,0.1,0.3,0.1,6.37
Valentin Depietri,21,Fortaleza,Forward,4(5),314,1,1,0.7,0.6,1.7,0.3,0.3,0.7,1.7,0.2,-,1.3,-,-,0.7,-,-,9.2,69.9,0.2,0.1,-,6.37
Emiliano Martínez,22,Red Bull Bragantino,DMC,6(7),564,-,-,0.3,0.2,0.9,0.5,-,0.6,0.6,0.7,1.3,0.9,0.1,0.2,1.2,0.1,-,25.3,87.8,-,2.2,-,6.37
Vinicius Guedes,22,Chapecoense AF,Midfielder,3(1),202,-,-,-,-,0.5,0.3,-,-,-,1.0,1.3,0.8,-,1,0.3,0.3,-,20.0,78.8,-,1.5,-,6.37
Ricardinho,33,Sport Recife,M(CR),4(2),391,-,-,0.3,0.2,0.5,0.5,-,-,0.3,2.3,0.8,0.7,-,0.2,0.7,0.2,-,25.0,89.3,0.2,1.2,-,6.37
Weverson,21,Red Bull Bragantino,D(L),9(8),866,-,-,0.4,0.1,0.4,0.2,0.1,0.4,0.9,0.9,0.8,0.8,0.1,1.4,0.7,0.2,-,21.2,76.7,0.3,1.4,-,6.37
Gabriel Teixeira,21,Fluminense,AM(L),11(4),1002,1,-,1.1,0.5,0.9,1.6,-,0.7,1.9,1.0,0.6,1.0,-,0.3,1.5,0.1,-,17.8,83.9,0.1,0.3,0.1,6.37
Ángelo Araos,25,Corinthians,AM(C),2(9),329,-,-,0.3,0.1,0.8,0.5,-,0.5,1.4,0.7,0.5,0.9,-,0.3,0.5,-,-,14.9,82.9,-,0.4,-,6.37
Bruno Tubarão,27,Red Bull Bragantino,Forward,0(2),20,-,-,1,-,-,0.5,0.5,1.0,0.5,1.0,-,0.5,-,0.5,-,-,-,5.5,72.7,-,-,-,6.37
Paulinho Moccelin,28,Sport Recife,AM(LR),17(17),1738,3,1,0.7,0.5,0.6,0.7,0.1,0.6,1.6,1.6,0.3,1.6,-,0.2,1.1,-,-,13.3,74.8,0.5,0.5,0.1,6.36
Pablo,29,Sao Paulo,"AM(CLR),FW",9(7),673,3,-,1.1,0.5,0.3,0.6,0.4,0.3,0.8,0.4,0.1,0.9,-,0.5,-,0.1,-,9.6,72.1,-,0.3,-,6.36
Moisés Ribeiro,31,Chapecoense AF,DMC,20(6),1545,-,-,-,0.5,0.6,1.0,-,0.3,1.1,1.5,0.8,2.3,-,0.7,0.8,0.3,-,28.9,82.8,-,2.9,-,6.36
Ribamar,24,America MG,FW,11(9),1026,2,-,1.9,0.3,0.2,1.1,0.5,0.6,1.4,0.2,-,1.2,-,0.3,0.3,-,-,8.4,70.7,0.1,0.2,-,6.36
Calebe,21,Atletico MG,M(C),1(13),267,-,3,0.2,0.6,0.4,0.6,-,0.3,0.3,0.8,-,0.7,-,-,0.4,-,-,10.7,90.0,0.3,0.3,0.1,6.36
Lucas Hernández,29,Cuiaba,D(L),3(5),322,-,-,-,0.5,0.3,0.4,-,0.1,0.4,0.5,1.3,0.1,0.1,1.5,0.8,-,-,16.6,84.2,0.4,0.3,-,6.36
Pedrinho,22,Red Bull Bragantino,AM(CL),9(8),745,-,2,1.4,0.8,1.1,0.6,0.1,0.8,1.4,0.8,0.2,0.6,-,0.1,0.7,-,-,13.9,83.5,0.2,0.5,-,6.36
Zé Ricardo,26,America MG,DMC,8(8),744,-,-,0.5,0.3,0.3,0.2,-,0.4,0.5,1.4,0.9,0.9,-,0.4,0.7,0.4,-,24.8,85.4,-,1.6,-,6.36
Léo Baptistão,29,Santos FC,"AM(CLR),FW",8,547,-,-,1.4,0.1,0.8,1.4,0.1,1.4,1,1.4,0.3,1.6,-,0.3,0.8,0.1,-,17.5,73.6,0.1,0.3,0.1,6.36
Sandry,19,Santos FC,DMC,1(3),120,-,-,-,0.3,0.3,0.3,-,0.3,0.5,2.0,0.5,0.8,-,-,0.5,0.3,-,22.5,85.6,-,2.3,-,6.36
João Cardoso,20,Internacional,DMC,11(16),1208,-,-,0.4,0.1,0.4,0.4,-,0.3,0.9,1.4,1,0.7,-,0.6,0.7,0.2,-,20.4,86.2,-,0.7,-,6.35
Ronald,20,Atletico GO,AM(LR),16(9),1333,-,-,0.8,0.4,0.6,1.8,0.1,0.8,1.2,1.1,0.2,0.9,-,0.1,1.2,0.2,-,12.2,78.0,0.1,0.2,-,6.35
Léo Gomes,24,Chapecoense AF,DMC,6(1),486,-,-,0.4,0.3,0.9,1,-,0.1,1.7,1.1,0.9,1.0,-,0.7,1.3,0.3,-,28.1,88.3,-,1.0,-,6.35
Leonardo Realpe,21,Red Bull Bragantino,D(C),3(5),259,-,-,0.3,0.5,0.1,0.1,-,0.1,0.1,0.4,1,0.9,0.3,1.9,0.6,0.6,-,21.1,90.5,0.1,1.3,-,6.35
Hyoran,28,Atletico MG,M(CLR),9(9),667,1,2,0.7,0.6,0.1,0.8,0.1,0.6,0.8,1.1,0.2,0.8,-,0.2,0.4,0.1,-,12.5,78.2,0.2,0.4,-,6.35
Jaime Alvarado,22,Athletico Paranaense,Midfielder,1,71,-,-,1,-,-,-,-,1.0,-,1.0,-,2.0,1,-,2.0,-,-,33.0,97.0,-,2.0,-,6.35
Thiago Lopes,25,Sport Recife,AM(C),8(6),541,-,-,0.4,0.4,0.7,0.9,-,0.4,1,0.4,0.6,0.3,-,0.1,0.3,-,-,15.7,80.5,0.1,0.8,-,6.35
Alerrandro,22,Red Bull Bragantino,FW,7(17),767,4,2,0.7,0.3,0.2,0.8,0.3,0.6,1,0.3,0.2,0.8,-,0.4,0.3,-,-,6.2,77.0,-,0.1,-,6.35
Anselmo Ramón,33,Chapecoense AF,FW,21(3),1544,4,1,1.3,0.6,0.6,1.8,0.2,1.1,2.5,0.4,0.2,1.1,-,0.8,0.7,0.1,-,20.0,70.6,-,1,0.1,6.35
Nenê,40,Fluminense,"AM(CLR),FW",9(6),751,1,-,0.7,1.1,0.2,0.7,-,0.7,1.3,0.3,0.3,0.7,-,0.2,0.9,0.1,-,19.1,77.7,1.1,1.4,0.2,6.35
John Kennedy,19,Fluminense,FW,6(7),573,2,-,1.7,0.5,0.7,1.2,0.3,0.8,2.0,0.5,0.2,0.7,-,0.2,0.2,-,-,8.3,68.5,-,-,-,6.34
Eugenio Isnaldo,28,Bahia,AM(L),3(3),256,-,-,0.5,0.2,0.5,0.7,-,0.3,2.0,1.3,1.0,1.5,0.2,0.3,0.3,-,-,11.3,69.1,0.3,-,-,6.34
Mayke,29,Palmeiras,D(R),7(5),653,-,-,0.2,0.8,0.3,0.3,-,0.2,0.8,0.6,1.3,0.5,0.3,0.8,1.0,0.3,-,27.8,87.1,0.3,0.8,-,6.34
Yesus Cabrera,31,Cuiaba,Midfielder,4(6),363,-,2,0.5,0.5,0.2,0.4,0.2,0.4,0.6,0.6,0.3,0.7,-,-,1.1,0.1,-,17.4,87.9,0.1,0.6,0.1,6.34
Igor Torres,22,Fortaleza,Forward,1(15),285,3,-,0.9,0.3,0.4,0.4,0.1,0.3,0.9,0.3,0.1,0.3,-,0.1,0.1,-,-,4.1,72.7,0.1,0.1,-,6.34
Moraes,24,Santos FC,Defender,4(9),457,-,-,0.5,0.2,0.6,0.6,0.1,0.2,1.2,0.7,1.2,0.8,0.1,0.8,0.5,0.1,-,16.5,78.0,0.2,0.5,-,6.34
William Oliveira,30,Ceara,DMC,5(9),516,-,-,0.3,0.1,0.2,1.1,0.1,0.2,0.4,0.8,0.9,1.1,-,0.9,0.7,0.1,-,10.4,84.2,-,0.6,-,6.34
Léo Chú,21,Gremio,AM(L),1(3),110,-,1,1.0,0.8,0.5,0.8,-,-,1.0,-,0.3,0.3,-,-,0.3,-,-,11.0,68.2,0.3,-,-,6.34
Léo Pereira,21,Gremio,AM(R),5(11),575,-,-,0.8,0.4,0.6,0.8,0.1,0.6,1.4,1.2,0.4,0.8,-,0.2,0.3,-,-,8.5,77.9,0.3,0.4,-,6.33
Nathan,26,Atletico MG,M(CL),4(18),425,2,3,0.4,0.3,0.5,0.3,-,0.4,0.3,0.2,0.2,0.5,-,0.2,0.5,-,-,9.0,84.4,-,0.3,-,6.33
Felipe Vizeu,25,Ceara,FW,1,65,-,-,-,-,-,2.0,-,-,1,-,1,1,-,-,-,-,-,11.0,63.6,-,-,-,6.33
Pedrinho,19,Athletico Paranaense,Defender,4(7),455,-,-,0.2,0.5,0.7,0.1,0.2,0.4,1.2,0.7,1,0.3,-,0.4,0.5,0.2,-,18.7,81.6,0.5,0.6,-,6.33
Vitor Bueno,27,Sao Paulo,"AM(CLR),FW",7(12),722,1,-,1.3,0.4,0.1,0.8,0.2,0.5,0.6,0.7,0.2,0.5,-,0.3,0.5,0.1,-,10.5,76.5,0.2,0.5,0.1,6.33
Bissoli,24,Athletico Paranaense,FW,11(10),1011,3,-,1.4,0.7,0.3,0.1,-,0.5,0.9,0.2,0.1,1,-,0.4,0.3,0.1,-,9.3,75.4,-,-,-,6.33
Matheus Teixeira,23,Bahia,GK,16,1440,-,-,-,-,-,0.3,-,-,-,-,-,0.1,-,1.1,-,-,-,21.9,75.8,-,2.8,-,6.32
Jackson,31,Fortaleza,D(C),5(3),396,-,-,0.4,0.1,-,0.5,-,0.3,0.3,1.5,1,0.4,0.3,1.4,0.3,0.1,-,25.9,85.5,-,3.4,-,6.32
